name,strunz,id,formula,elements,hyperlink,comments,shift
Babingtonite_R060093-1,9.DK.05,R060093-1,Ca2Fe2+Fe3+Si5O14(OH),Ca Fe Si O H,[RRUF](https://rruff.info/R060093) [Mindat](http://www.mindat.org/search.php?name=Babingtonite),,
Baddeleyite_R060016-1,4.DE.35,R060016-1,ZrO2,Zr O,[RRUF](https://rruff.info/R060016) [Mindat](http://www.mindat.org/search.php?name=Baddeleyite),,
Baddeleyite_R060078-1,4.DE.35,R060078-1,ZrO2,Zr O,[RRUF](https://rruff.info/R060078) [Mindat](http://www.mindat.org/search.php?name=Baddeleyite),,
Bahianite_R050627-1,4.DC.05,R050627-1,Al5Sb5+3O14(OH)2,Al Sb O H,[RRUF](https://rruff.info/R050627) [Mindat](http://www.mindat.org/search.php?name=Bahianite),,
Bakerite_R050423-1,,R050423-1,,,[RRUF](https://rruff.info/R050423) ,,
Barrerite_R050135-1,9.GE.15,R050135-1,Na2(Si7Al2)O18 6H2O,Na Si Al O H,[RRUF](https://rruff.info/R050135) [Mindat](http://www.mindat.org/search.php?name=Barrerite),,
Barrerite_R050135-1,9.GE.15,R050135-1,Na2(Si7Al2)O18 6H2O,Na Si Al O H,[RRUF](https://rruff.info/R050135) [Mindat](http://www.mindat.org/search.php?name=Barrerite),,
Barysilite_R050002-1,9.BB.15,R050002-1,Pb8Mn(Si2O7)3,Pb Mn Si O,[RRUF](https://rruff.info/R050002) [Mindat](http://www.mindat.org/search.php?name=Barysilite),,
Baryte_R040036-1,9.BC.20,R040036-1,Ba(SO4),Ba S O,[RRUF](https://rruff.info/R040036) [Mindat](http://www.mindat.org/search.php?name=Baryte),,
Baryte_R050335-1,9.BC.20,R050335-1,Ba(SO4),Ba S O,[RRUF](https://rruff.info/R050335) [Mindat](http://www.mindat.org/search.php?name=Baryte),,
Baryte_R050342-1,9.BC.20,R050342-1,Ba(SO4),Ba S O,[RRUF](https://rruff.info/R050342) [Mindat](http://www.mindat.org/search.php?name=Baryte),,
Baryte_R050375-1,9.BC.20,R050375-1,Ba(SO4),Ba S O,[RRUF](https://rruff.info/R050375) [Mindat](http://www.mindat.org/search.php?name=Baryte),,
Barytocalcite_R050288-1,7.AD.35,R050288-1,BaCa(CO3)2,Ba Ca C O,[RRUF](https://rruff.info/R050288) [Mindat](http://www.mindat.org/search.php?name=Barytocalcite),,
BastnasiteCe_R050409-1,5.BD.20a,R050409-1,Ce(CO3)F,Ce C O F,[RRUF](https://rruff.info/R050409) [Mindat](http://www.mindat.org/search.php?name=BastnasiteCe),,
Baumhauerite_R050429-1,2.HC.05b,R050429-1,Pb12As16S36,Pb As S,[RRUF](https://rruff.info/R050429) [Mindat](http://www.mindat.org/search.php?name=Baumhauerite),,
Bayldonite_R050670-1,8.BH.45,R050670-1,Cu3PbO(AsO3OH)2(OH)2,Cu Pb O As H,[RRUF](https://rruff.info/R050670) [Mindat](http://www.mindat.org/search.php?name=Bayldonite),,
Benitoite_R050320-1,9.CA.05,R050320-1,BaTiSi3O9,Ba Ti Si O,[RRUF](https://rruff.info/R050320) [Mindat](http://www.mindat.org/search.php?name=Benitoite),,
Benstonite_R050484-1,5.AB.55,R050484-1,Ba6Ca6Mg(CO3)13,Ba Ca Mg C O,[RRUF](https://rruff.info/R050484) [Mindat](http://www.mindat.org/search.php?name=Benstonite),,
Benstonite_R050484-1,5.AB.55,R050484-1,Ba6Ca6Mg(CO3)13,Ba Ca Mg C O,[RRUF](https://rruff.info/R050484) [Mindat](http://www.mindat.org/search.php?name=Benstonite),,
Berthierite_R070177-1,2.HA.20,R070177-1,FeSb2S4,Fe Sb S,[RRUF](https://rruff.info/R070177) [Mindat](http://www.mindat.org/search.php?name=Berthierite),,
Beryl_R040002-1,9.CJ.05,R040002-1,Be3Al2Si6O18,Be Al Si O,[RRUF](https://rruff.info/R040002) [Mindat](http://www.mindat.org/search.php?name=Beryl),,
Beryl_R050065-1,9.CJ.05,R050065-1,Be3Al2Si6O18,Be Al Si O,[RRUF](https://rruff.info/R050065) [Mindat](http://www.mindat.org/search.php?name=Beryl),,
Beryl_R050120-1,9.CJ.05,R050120-1,Be3Al2Si6O18,Be Al Si O,[RRUF](https://rruff.info/R050120) [Mindat](http://www.mindat.org/search.php?name=Beryl),,
Beryl_R050120-1,9.CJ.05,R050120-1,Be3Al2Si6O18,Be Al Si O,[RRUF](https://rruff.info/R050120) [Mindat](http://www.mindat.org/search.php?name=Beryl),,
Beryl_R050121-1,9.CJ.05,R050121-1,Be3Al2Si6O18,Be Al Si O,[RRUF](https://rruff.info/R050121) [Mindat](http://www.mindat.org/search.php?name=Beryl),,
Beryl_R050121-1,9.CJ.05,R050121-1,Be3Al2Si6O18,Be Al Si O,[RRUF](https://rruff.info/R050121) [Mindat](http://www.mindat.org/search.php?name=Beryl),,
Beryl_R050305-1,9.CJ.05,R050305-1,Be3Al2Si6O18,Be Al Si O,[RRUF](https://rruff.info/R050305) [Mindat](http://www.mindat.org/search.php?name=Beryl),,
Beryl_R050347-1,9.CJ.05,R050347-1,Be3Al2Si6O18,Be Al Si O,[RRUF](https://rruff.info/R050347) [Mindat](http://www.mindat.org/search.php?name=Beryl),,
Beryl_R050368-1,9.CJ.05,R050368-1,Be3Al2Si6O18,Be Al Si O,[RRUF](https://rruff.info/R050368) [Mindat](http://www.mindat.org/search.php?name=Beryl),,
Beryllonite_R070249-1,8.AA.10,R070249-1,NaBe(PO4),Na Be P O,[RRUF](https://rruff.info/R070249) [Mindat](http://www.mindat.org/search.php?name=Beryllonite),,
Betekhtinite_R070087-1,2.BE.05,R070087-1,"(Cu,Fe)21Pb2S15",Cu Fe Pb S,[RRUF](https://rruff.info/R070087) [Mindat](http://www.mindat.org/search.php?name=Betekhtinite),,
Bikitaite_R050160-1,9.GD.55,R050160-1,LiAlSi2O6 H2O,Li Al Si O H,[RRUF](https://rruff.info/R050160) [Mindat](http://www.mindat.org/search.php?name=Bikitaite),,
Bikitaite_R050160-1,9.GD.55,R050160-1,LiAlSi2O6 H2O,Li Al Si O H,[RRUF](https://rruff.info/R050160) [Mindat](http://www.mindat.org/search.php?name=Bikitaite),,
Bikitaite_R060032-1,9.GD.55,R060032-1,LiAlSi2O6 H2O,Li Al Si O H,[RRUF](https://rruff.info/R060032) [Mindat](http://www.mindat.org/search.php?name=Bikitaite),,
Bilinite_R070187-1,7.CB.85,R070187-1,Fe2+Fe3+2(SO4)4 22H2O,Fe S O H,[RRUF](https://rruff.info/R070187) [Mindat](http://www.mindat.org/search.php?name=Bilinite),,
Billwiseite_R130070,4.DE.40,R130070,Sb3+5Nb3WO18,Sb Nb W O,[RRUF](https://rruff.info/R130070) [Mindat](http://www.mindat.org/search.php?name=Billwiseite),,
Bindheimite_R050546-1,4.DH.20,R050546-1,Pb2Sb5+2O7,Pb Sb O,[RRUF](https://rruff.info/R050546) [Mindat](http://www.mindat.org/search.php?name=Bindheimite),,
Bismuth_R050650-1,1.CA.05,R050650-1,Bi,Bi,[RRUF](https://rruff.info/R050650) [Mindat](http://www.mindat.org/search.php?name=Bismuth),,
BixbyiteFe_R050395-1,4.CB.10,R050395-1,Fe3+2O3,Fe O,[RRUF](https://rruff.info/R050395) [Mindat](http://www.mindat.org/search.php?name=BixbyiteFe),,
Blodite_R050317-9,7.CC.50,R050317-9,Na2Mg(SO4)2 4H2O,Na Mg S O H,[RRUF](https://rruff.info/R050317) [Mindat](http://www.mindat.org/search.php?name=Blodite),,
Blodite_R050341-1,7.CC.50,R050341-1,Na2Mg(SO4)2 4H2O,Na Mg S O H,[RRUF](https://rruff.info/R050341) [Mindat](http://www.mindat.org/search.php?name=Blodite),,
