name,strunz,id,formula,elements,hyperlink,comments,shift
Enstatite_,9.DA.05,326,Mg2Si2O6,Mg Si O,[Mindat](http://www.mindat.org/search.php?name=Enstatite),,
Epidote_Angasolka Radomskaya in association with x-pink,9.BG.05a,141,Ca2(Al2Fe3+) [Si2O7 ] [SiO4 ]O(OH),Ca Al Fe Si O H,[Mindat](http://www.mindat.org/search.php?name=Epidote),,
Epidote_Korshunikham 2020 Makrigina,9.BG.05a,230,Ca2(Al2Fe3+) [Si2O7 ] [SiO4 ]O(OH),Ca Al Fe Si O H,[Mindat](http://www.mindat.org/search.php?name=Epidote),,
Epidote_Angasolka DZhD Sukneva,9.BG.05a,248,Ca2(Al2Fe3+) [Si2O7 ] [SiO4 ]O(OH),Ca Al Fe Si O H,[Mindat](http://www.mindat.org/search.php?name=Epidote),,
Epidote_DZdD Sukneva,9.BG.05a,249,Ca2(Al2Fe3+) [Si2O7 ] [SiO4 ]O(OH),Ca Al Fe Si O H,[Mindat](http://www.mindat.org/search.php?name=Epidote),,
Epidote_Angasolka Radomskaya in association with x-pink,9.BG.05a,503,Ca2(Al2Fe3+) [Si2O7 ] [SiO4 ]O(OH),Ca Al Fe Si O H,[Mindat](http://www.mindat.org/search.php?name=Epidote),,
epoxy_,,287,,,,,
Eudialite_Inagli Radomskay,,437,,,,,
Eudialite_Inagli Radomskay,,438,,,,,
Eudialite_Khibiny Radomskay,,439,,,,,
Eudialite_Khibiny Radomskay,,440,,,,,
Eudialite_Khibiny Radomskay,,441,,,,,
Eudialite_Khibiny Radomskay,,442,,,,,
Fedorite_G-43 rose polished large,9.EE.80,106,"(K,Na)2.5(Ca,Na)7Si16O38(OH,F)2 3.5H2O",K Na Ca Si O H F,[Mindat](http://www.mindat.org/search.php?name=Fedorite),,
Fedorite_grey G43 errosion,9.EE.80,107,"(K,Na)2.5(Ca,Na)7Si16O38(OH,F)2 3.5H2O",K Na Ca Si O H F,[Mindat](http://www.mindat.org/search.php?name=Fedorite),,
Fedorite_G-43 crystal grain,9.EE.80,108,"(K,Na)2.5(Ca,Na)7Si16O38(OH,F)2 3.5H2O",K Na Ca Si O H F,[Mindat](http://www.mindat.org/search.php?name=Fedorite),,
"Fedorite_plate,19-33 Murun",9.EE.80,12,"(K,Na)2.5(Ca,Na)7Si16O38(OH,F)2 3.5H2O",K Na Ca Si O H F,[Mindat](http://www.mindat.org/search.php?name=Fedorite),,
Fedorite_Murun Noviy Mitichkin,9.EE.80,160,"(K,Na)2.5(Ca,Na)7Si16O38(OH,F)2 3.5H2O",K Na Ca Si O H F,[Mindat](http://www.mindat.org/search.php?name=Fedorite),,
Fedorite_Murun association with aegirine tinoksite thin polished section Radomaskaya,9.EE.80,89,"(K,Na)2.5(Ca,Na)7Si16O38(OH,F)2 3.5H2O",K Na Ca Si O H F,[Mindat](http://www.mindat.org/search.php?name=Fedorite),,
Feldspar_Medvedev Makogon 2020 brown,,102,,,,,
Feldspar_white Olkhon moon stone,,103,,,,,
Feldspar_in association with baratovite nd turkestanite Dara-i-Pioz- grain1 ,,211,,,,,
Feldspar_microcline or orthoclase Inagli IG-86-320-2,,240,,,,,
Feldspar_in association with smitsonite,,355,,,,,
Feldspar_in assciation with Cancrinite Dara-i-Pioz,,4,,,,,
Feldspar_Khan-Bogdo Radomskay,,448,,,,,
Feldspar_GSh-23-1,,461,,,,,
Ferberite_,4.DB.30,69,Fe2+(WO4),Fe W O,[Mindat](http://www.mindat.org/search.php?name=Ferberite),,
Fergusonite_AN Demonterova,,304,,,,,
Apatite_from carbonatite Guli Radomskaya,,189,,,,,
Fluorapatite_39-77-5,8.BN.05,320,Ca5(PO4)3F,Ca P O F,[Mindat](http://www.mindat.org/search.php?name=Fluorapatite),,
Fluorapatite_green Slyudyanka Radomskaya 2015,8.BN.05,71,Ca5(PO4)3F,Ca P O F,[Mindat](http://www.mindat.org/search.php?name=Fluorapatite),,
Fluorapatite_Iran Vladykin,8.BN.05,72,Ca5(PO4)3F,Ca P O F,[Mindat](http://www.mindat.org/search.php?name=Fluorapatite),,
Fluorcarletonite_Murun,9.EB.20,13,KNa4Ca4Si8O18(CO3)4F H2O,K Na Ca Si O C F H,[Mindat](http://www.mindat.org/search.php?name=Fluorcarletonite),,
Sr-fluorapatite_Inagli-IG-86-320-2 Radomskaya,,238,,,,,
Strontium-bearing_Apatite,,526,,,,,
Sr-bearing_apatite IG86-320-2,,527,,,,,
Forsterite_Tageran Priolkhon'e,9.AC.05,156,Mg2(SiO4),Mg Si O,[Mindat](http://www.mindat.org/search.php?name=Forsterite),,
Frankamenite_zerno 4,9.DG.90,177,K3Na3Ca5Si12O30F3(OH) H2O,K Na Ca Si O F H,[Mindat](http://www.mindat.org/search.php?name=Frankamenite),,
Frankamenite_green Ch-2 BKS,9.DG.90,405,K3Na3Ca5Si12O30F3(OH) H2O,K Na Ca Si O F H,[Mindat](http://www.mindat.org/search.php?name=Frankamenite),,
Frankamenite_grey Ch-2 BKS single grain,9.DG.90,406,K3Na3Ca5Si12O30F3(OH) H2O,K Na Ca Si O F H,[Mindat](http://www.mindat.org/search.php?name=Frankamenite),,
Frankamenite_grey polished radomskaya,9.DG.90,411,K3Na3Ca5Si12O30F3(OH) H2O,K Na Ca Si O F H,[Mindat](http://www.mindat.org/search.php?name=Frankamenite),,
Frankamenite_green radomskaya ,9.DG.90,412,K3Na3Ca5Si12O30F3(OH) H2O,K Na Ca Si O F H,[Mindat](http://www.mindat.org/search.php?name=Frankamenite),,
Frankamenite_green Radomskaya pewrp direction,9.DG.90,413,K3Na3Ca5Si12O30F3(OH) H2O,K Na Ca Si O F H,[Mindat](http://www.mindat.org/search.php?name=Frankamenite),,
Fresnoite_Inagli IG-86-320 point 9 Radomskaya,9.BE.15,239,Ba2TiO(Si2O7),Ba Ti O Si,[Mindat](http://www.mindat.org/search.php?name=Fresnoite),,
Fresnoite_IG-86-320-2,9.BE.15,524,Ba2TiO(Si2O7),Ba Ti O Si,[Mindat](http://www.mindat.org/search.php?name=Fresnoite),,
Fresnoite_IG-86-320-2 single grain,9.BE.15,525,Ba2TiO(Si2O7),Ba Ti O Si,[Mindat](http://www.mindat.org/search.php?name=Fresnoite),,
Fuchsite_,,32,,,,,
Garnet_Medvedev Levitskiy,,158,,,,,
Garnet_high pressure 2166,,338,,,,,
Garnet_2166 high pressure,,342,,,,,
Garnet_2166 high pressure,,343,,,,,
Gematite_,,300,,,,,
Gipsum_in association with antlerite Tolbachik North,,276,,,,,
Gipsum_Medvedev Radomskaya,,76,,,,,
Grossular_with andradite,9.AD.25,124,Ca3Al2(SiO4)3,Ca Al Si O,[Mindat](http://www.mindat.org/search.php?name=Grossular),,
Grossular_in association with rodinghite Bazhanovskoe Asbest Radomskaya,9.AD.25,430,Ca3Al2(SiO4)3,Ca Al Si O,[Mindat](http://www.mindat.org/search.php?name=Grossular),,
Grossular_Sasim,9.AD.25,469,Ca3Al2(SiO4)3,Ca Al Si O,[Mindat](http://www.mindat.org/search.php?name=Grossular),,
Grossular_Sasim,9.AD.25,517,Ca3Al2(SiO4)3,Ca Al Si O,[Mindat](http://www.mindat.org/search.php?name=Grossular),,
Gypsum_,7.CD.40,75,Ca(SO4) 2H2O,Ca S O H,[Mindat](http://www.mindat.org/search.php?name=Gypsum),,
Hauyne_MD Sapozhnikov,9.FB.10,146,Na3Ca(Si3Al3)O12(SO4),Na Ca Si Al O S,[Mindat](http://www.mindat.org/search.php?name=Hauyne),,
