name,strunz,id,formula,elements,hyperlink,comments,shift
Aegirine_R120167-9,9.DA.25,R120167-9,NaFe3+Si2O6,Na Fe Si O,[RRUF](https://rruff.info/R120167) [Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aenigmatite_R061088-1,9.DH.40,R061088-1,Na4 [Fe2+10Ti2 ]O4 [Si12O36 ],Na Fe Ti O Si,[RRUF](https://rruff.info/R061088) [Mindat](http://www.mindat.org/search.php?name=Aenigmatite),,
Aenigmatite_R061089-9,9.DH.40,R061089-9,Na4 [Fe2+10Ti2 ]O4 [Si12O36 ],Na Fe Ti O Si,[RRUF](https://rruff.info/R061089) [Mindat](http://www.mindat.org/search.php?name=Aenigmatite),,
AeschyniteY_R060312-1,4.DF.05,R060312-1,"(Y,Ln,Ca,Th)(Ti,Nb)2(O,OH)6",Y Ln Ca Th Ti Nb O H,[RRUF](https://rruff.info/R060312) [Mindat](http://www.mindat.org/search.php?name=AeschyniteY),,
AeschyniteY_R060312-1,4.DF.05,R060312-1,"(Y,Ln,Ca,Th)(Ti,Nb)2(O,OH)6",Y Ln Ca Th Ti Nb O H,[RRUF](https://rruff.info/R060312) [Mindat](http://www.mindat.org/search.php?name=AeschyniteY),,
AeschyniteY_R080045-1,4.DF.05,R080045-1,"(Y,Ln,Ca,Th)(Ti,Nb)2(O,OH)6",Y Ln Ca Th Ti Nb O H,[RRUF](https://rruff.info/R080045) [Mindat](http://www.mindat.org/search.php?name=AeschyniteY),,
AeschyniteY_R080045-1,4.DF.05,R080045-1,"(Y,Ln,Ca,Th)(Ti,Nb)2(O,OH)6",Y Ln Ca Th Ti Nb O H,[RRUF](https://rruff.info/R080045) [Mindat](http://www.mindat.org/search.php?name=AeschyniteY),,
Afghanite_R060422-1,9.FB.05,R060422-1,"(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6",Na K Ca Si Al O S Cl,[RRUF](https://rruff.info/R060422) [Mindat](http://www.mindat.org/search.php?name=Afghanite),,
Afghanite_R060422-1,9.FB.05,R060422-1,"(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6",Na K Ca Si Al O S Cl,[RRUF](https://rruff.info/R060422) [Mindat](http://www.mindat.org/search.php?name=Afghanite),,
Afghanite_R070558-9,9.FB.05,R070558-9,"(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6",Na K Ca Si Al O S Cl,[RRUF](https://rruff.info/R070558) [Mindat](http://www.mindat.org/search.php?name=Afghanite),,
Afmite_R130082-9,8.DD.15,R130082-9,Al3(OH)4(H2O)3(PO4)(PO3OH) H2O,Al O H P,[RRUF](https://rruff.info/R130082) [Mindat](http://www.mindat.org/search.php?name=Afmite),,
Afwillite_R070296-9,9.AG.75,R070296-9,Ca3 [SiO4 ] [SiO2(OH)2 ] 2H2O,Ca Si O H,[RRUF](https://rruff.info/R070296) [Mindat](http://www.mindat.org/search.php?name=Afwillite),,
Afwillite_R080022-9,9.AG.75,R080022-9,Ca3 [SiO4 ] [SiO2(OH)2 ] 2H2O,Ca Si O H,[RRUF](https://rruff.info/R080022) [Mindat](http://www.mindat.org/search.php?name=Afwillite),,
Afwillite_R141097-9,9.AG.75,R141097-9,Ca3 [SiO4 ] [SiO2(OH)2 ] 2H2O,Ca Si O H,[RRUF](https://rruff.info/R141097) [Mindat](http://www.mindat.org/search.php?name=Afwillite),,
AgakhanoviteY_R230012,9.CM.,R230012,YCa  box 2KBe3Si12O30,Y Ca K Be Si O,[RRUF](https://rruff.info/R230012) [Mindat](http://www.mindat.org/search.php?name=AgakhanoviteY),,
AgarditeY_R060711-1,8.DL.15,R060711-1,YCu2+6(AsO4)3(OH)6 3H2O,Y Cu As O H,[RRUF](https://rruff.info/R060711) [Mindat](http://www.mindat.org/search.php?name=AgarditeY),,
AgarditeY_R060711-1,8.DL.15,R060711-1,YCu2+6(AsO4)3(OH)6 3H2O,Y Cu As O H,[RRUF](https://rruff.info/R060711) [Mindat](http://www.mindat.org/search.php?name=AgarditeY),,
AgarditeY_R060924-9,8.DL.15,R060924-9,YCu2+6(AsO4)3(OH)6 3H2O,Y Cu As O H,[RRUF](https://rruff.info/R060924) [Mindat](http://www.mindat.org/search.php?name=AgarditeY),,
AgarditeY_R060924-9,8.DL.15,R060924-9,YCu2+6(AsO4)3(OH)6 3H2O,Y Cu As O H,[RRUF](https://rruff.info/R060924) [Mindat](http://www.mindat.org/search.php?name=AgarditeY),,
AgarditeY_R070357-9,8.DL.15,R070357-9,YCu2+6(AsO4)3(OH)6 3H2O,Y Cu As O H,[RRUF](https://rruff.info/R070357) [Mindat](http://www.mindat.org/search.php?name=AgarditeY),,
AgarditeY_R070357-9,8.DL.15,R070357-9,YCu2+6(AsO4)3(OH)6 3H2O,Y Cu As O H,[RRUF](https://rruff.info/R070357) [Mindat](http://www.mindat.org/search.php?name=AgarditeY),,
AgarditeY_R070649-9,8.DL.15,R070649-9,YCu2+6(AsO4)3(OH)6 3H2O,Y Cu As O H,[RRUF](https://rruff.info/R070649) [Mindat](http://www.mindat.org/search.php?name=AgarditeY),,
Agrellite_R060914-1,9.DH.75,R060914-1,NaCa2Si4O10F,Na Ca Si O F,[RRUF](https://rruff.info/R060914) [Mindat](http://www.mindat.org/search.php?name=Agrellite),,
Agrellite_R060914-1,9.DH.75,R060914-1,NaCa2Si4O10F,Na Ca Si O F,[RRUF](https://rruff.info/R060914) [Mindat](http://www.mindat.org/search.php?name=Agrellite),,
Ahlfeldite_R100210-9,4.JH.10,R100210-9,Ni(SeO3) 2H2O,Ni Se O H,[RRUF](https://rruff.info/R100210) [Mindat](http://www.mindat.org/search.php?name=Ahlfeldite),,
Ahrensite_R230013,9.AC.,R230013,SiFe2O4,Si Fe O,[RRUF](https://rruff.info/R230013) [Mindat](http://www.mindat.org/search.php?name=Ahrensite),,
Aikinite_R100117-9,2.HB.05a,R100117-9,CuPbBiS3,Cu Pb Bi S,[RRUF](https://rruff.info/R100117) [Mindat](http://www.mindat.org/search.php?name=Aikinite),,
Ajoite_R120018-9,9.EA.70,R120018-9,K3Cu2+20Al3Si29O76(OH)16 8H2O,K Cu Al Si O H,[RRUF](https://rruff.info/R120018) [Mindat](http://www.mindat.org/search.php?name=Ajoite),,
Akatoreite_R060230-9,9.BH.15,R060230-9,Mn2+9Al2Si8O24(OH)8,Mn Al Si O H,[RRUF](https://rruff.info/R060230) [Mindat](http://www.mindat.org/search.php?name=Akatoreite),,
Akermanite_R061085-1,9.BB.10,R061085-1,Ca2MgSi2O7,Ca Mg Si O,[RRUF](https://rruff.info/R061085) [Mindat](http://www.mindat.org/search.php?name=Akermanite),,
Akermanite_R061085-1,9.BB.10,R061085-1,Ca2MgSi2O7,Ca Mg Si O,[RRUF](https://rruff.info/R061085) [Mindat](http://www.mindat.org/search.php?name=Akermanite),,
