name,strunz,id,formula,elements,hyperlink,wavelength,status,comments,shift
Fettelite_1000180.rod,2.LA.30,1000180.rod, [Ag6As2S7 ] [Ag10HgAs2S8 ],Ag As S Hg,[ROD](https://solsa.crystallography.net/rod/1000180.html) [Mindat](http://www.mindat.org/search.php?name=Fettelite),780.0,RAW,,
Fluornatromicrolite_1000148.rod,4.DH.15,1000148.rod,(Na1.5Bi0.5)Ta2O6F,Na Bi Ta O F,[ROD](https://solsa.crystallography.net/rod/1000148.html) [Mindat](http://www.mindat.org/search.php?name=Fluornatromicrolite),780.0,RAW,,
Fluornatromicrolite_1000181.rod,4.DH.15,1000181.rod,(Na1.5Bi0.5)Ta2O6F,Na Bi Ta O F,[ROD](https://solsa.crystallography.net/rod/1000181.html) [Mindat](http://www.mindat.org/search.php?name=Fluornatromicrolite),780.0,RAW,,
Fluornatromicrolite_1000183.rod,4.DH.15,1000183.rod,(Na1.5Bi0.5)Ta2O6F,Na Bi Ta O F,[ROD](https://solsa.crystallography.net/rod/1000183.html) [Mindat](http://www.mindat.org/search.php?name=Fluornatromicrolite),780.0,RAW,,
Fluornatromicrolite_1000327.rod,4.DH.15,1000327.rod,(Na1.5Bi0.5)Ta2O6F,Na Bi Ta O F,[ROD](https://solsa.crystallography.net/rod/1000327.html) [Mindat](http://www.mindat.org/search.php?name=Fluornatromicrolite),532.0,RAW,,
Fluornatromicrolite_1000357.rod,4.DH.15,1000357.rod,(Na1.5Bi0.5)Ta2O6F,Na Bi Ta O F,[ROD](https://solsa.crystallography.net/rod/1000357.html) [Mindat](http://www.mindat.org/search.php?name=Fluornatromicrolite),532.0,RAW,,
Fluornatromicrolite_1000359.rod,4.DH.15,1000359.rod,(Na1.5Bi0.5)Ta2O6F,Na Bi Ta O F,[ROD](https://solsa.crystallography.net/rod/1000359.html) [Mindat](http://www.mindat.org/search.php?name=Fluornatromicrolite),532.0,RAW,,
Footemineite_1000075.rod,8.DA.10,1000075.rod,Ca2Mn2+5Be4(PO4)6(OH)4 6H2O,Ca Mn Be P O H,[ROD](https://solsa.crystallography.net/rod/1000075.html) [Mindat](http://www.mindat.org/search.php?name=Footemineite),780.0,RAW,,
Footemineite_1000252.rod,8.DA.10,1000252.rod,Ca2Mn2+5Be4(PO4)6(OH)4 6H2O,Ca Mn Be P O H,[ROD](https://solsa.crystallography.net/rod/1000252.html) [Mindat](http://www.mindat.org/search.php?name=Footemineite),532.0,RAW,,
Forsterite_3500271.rod,9.AC.05,3500271.rod,Mg2(SiO4),Mg Si O,[ROD](https://solsa.crystallography.net/rod/3500271.html) [Mindat](http://www.mindat.org/search.php?name=Forsterite),633.0,RAW,,
Gadolina_3500122.rod,,3500122.rod,,,[ROD](https://solsa.crystallography.net/rod/3500122.html) ,785.0,RAW,,
Gadolina_3500192.rod,,3500192.rod,,,[ROD](https://solsa.crystallography.net/rod/3500192.html) ,633.0,RAW,,
Gadolina_3500237.rod,,3500237.rod,,,[ROD](https://solsa.crystallography.net/rod/3500237.html) ,633.0,RAW,,
Gelosaite_1000143.rod,4.DM.30,1000143.rod,BiMo6+(2-5x)Mo5+6xO7(OH) H2O (0 < x < 0.4),Bi Mo O H,[ROD](https://solsa.crystallography.net/rod/1000143.html) [Mindat](http://www.mindat.org/search.php?name=Gelosaite),780.0,RAW,,
